time_sec,best_fitness
0.281,1149.097191
1.007,1149.097191
4.070,1149.097191
7.062,1149.097191
10.078,1149.097191
13.115,1149.097191
16.096,1149.097191
19.133,1149.097191
22.167,1149.097191
25.179,1149.097191
28.088,1149.097191
31.122,1149.097191
34.018,1149.097191
36.967,1149.097191
39.803,1149.097191
42.521,1149.097191
45.348,1149.097191
48.190,1149.097191
51.065,1149.097191
53.878,1149.097191
56.711,1149.097191
59.574,1149.097191
62.376,1149.097191
65.243,1149.097191
68.187,1149.097191
71.158,1149.097191
74.040,1149.097191
76.933,1149.097191
79.824,1149.097191
82.667,1149.097191
85.524,1149.097191
88.510,1149.097191
91.400,1149.097191
94.301,1149.097191
97.170,1149.097191
99.962,1149.097191
102.824,1149.097191
105.657,1149.097191
108.526,1149.097191
111.409,1149.097191
114.349,1149.097191
117.328,1149.097191
120.288,1149.097191
123.195,1149.097191
126.066,1149.097191
128.909,1149.097191
131.814,1149.097191
134.692,1149.097191
137.576,1149.097191
140.536,1149.097191
143.387,1149.097191
146.289,1149.097191
149.152,1149.097191
152.030,1149.097191
154.939,1149.097191
157.860,1149.097191
160.708,1149.097191
163.568,1149.097191
166.450,1149.097191
169.321,1149.097191
172.300,1149.097191
175.164,1149.097191
178.087,1149.097191
180.981,1149.097191
183.902,1149.097191
186.867,1149.097191
189.853,1149.097191
192.798,1149.097191
195.765,1149.097191
198.769,1149.097191
201.801,1149.097191
204.765,1149.097191
207.715,1149.097191
210.709,1149.097191
213.644,1149.097191
216.571,1149.097191
219.505,1149.097191
222.453,1149.097191
225.359,1149.097191
228.281,1149.097191
231.160,1149.097191
234.072,1149.097191
236.989,1149.097191
239.890,1149.097191
242.906,1149.097191
245.894,1149.097191
248.795,1149.097191
251.760,1149.097191
254.643,1149.097191
257.589,1149.097191
260.605,1149.097191
263.726,1149.097191
266.848,1149.097191
269.823,1149.097191
272.842,1149.097191
275.741,1149.097191
278.719,1149.097191
281.748,1149.097191
284.699,1149.097191
287.660,1149.097191
290.627,1149.097191
293.525,1149.097191
296.677,1149.097191
299.617,1149.097191
